Date,SPY 5/15/20 C282,SPY 5/15/20 P282,XLK 5/15/20 C88,XLK 5/15/20 P88,XLF 5/15/20 C22,XLF 5/15/20 P22,XLY 5/15/20 C111,XLY 5/15/20 P111,XLV 5/15/20 C100,XLV 5/15/20 P100,XLI 5/15/20 C61,XLI 5/15/20 P61
2020-04-20,0.3696669756352974,0.3942829199174115,0.4475917091649177,0.45198651284900687,0.5411336462628958,0.5477342088781042,0.4304444686832714,0.4101536103563067,0.3035494459413332,0.30725510201451794,0.516025598195564,0.4440261731363642
2020-04-21,0.38059819968498265,0.37596695482386505,0.42837245707295507,0.43301792642337367,0.553886748761138,0.5466110774918004,0.45445099021476315,0.4547250779778422,0.3346571292063477,0.27988218034583623,0.5243194578519071,0.4539886354020571
2020-04-22,0.3536918955794521,0.36508950148870284,0.41831681478986754,0.4120813144966175,0.5318594307415069,0.49156250451754147,0.4293172462468098,0.422979669081155,0.30012707980236863,0.3139020254110781,0.5175967794370901,0.47108614642998975
2020-04-23,0.33787262856191547,0.36944422691443535,0.42066902930482886,0.36303022278549096,0.448284771297783,0.42077587872382277,0.4219922139083128,0.3958040670149905,0.29905589777179614,0.29180717838899556,0.5108741010222733,0.43155125899844027
2020-04-24,0.31248207569232356,0.31404715392803884,0.3727344966491534,0.4144328947052073,0.38609131809224934,0.4163165284922838,0.42988085746504057,0.37767882429641164,0.28427605013496154,0.2892456822748775,0.3915280442030372,0.4078637206933178
2020-04-27,0.3014711297692366,0.31459110984502076,0.37212917011007024,0.3699566142987254,0.41713492724914253,0.3808890356254723,0.4030893761380219,0.3577172619688975,0.2721482649050961,0.26276873919266075,0.3953495099533576,0.36388533173822335
2020-04-28,0.3260583892841424,0.29872107877576903,0.45093618918760864,0.39956064560641785,0.4559020627238633,0.40225529969309637,0.43427515415608636,0.3712955160765791,0.25098436322432777,0.23655130768085206,0.47957542663233865,0.3960752098312065
2020-04-29,0.3554539393418552,0.3152298553041521,0.42828476454465275,0.3763844307337133,0.45434467983826154,0.42362156376072035,0.4022023295359114,0.3790736008592608,0.26577280292327676,0.20272694520906398,0.43400507256763293,0.4619353315528407
2020-04-30,0.2979900727594894,0.35996416142705107,0.37135318796797556,0.39970789943138463,0.4527872969526598,0.4223646428141469,0.3907628361454139,0.40888696723751355,0.2380927468946129,0.25435056945811696,0.3884347185029272,0.3856478910281881
2020-05-01,0.332902359505835,0.3534971040582694,0.3917722859575831,0.38939087440916376,0.49141922667974147,0.48468858281227106,0.33376722664572955,0.3737919528792598,0.23659783285279315,0.28803792803052797,0.4699102744607544,0.41778973093201854
2020-05-04,0.3051288063611178,0.3470300466894877,0.3896360727997866,0.41649396627436397,0.4443266080645202,0.47515457711876274,0.35702834765805125,0.4294155854824402,0.2556848608794927,0.27953823337245065,0.3434911619321515,0.4478143201565405
2020-05-05,0.3153134339633068,0.3290255936670358,0.40720443719778493,0.3675305837868751,0.4334656751106247,0.3886766465836401,0.3802894686703729,0.314785189908388,0.24642430764253617,0.2702839917227923,0.49611854504310543,0.36950840062061807
2020-05-06,0.30239427399862073,0.3368127491082825,0.45328792070851864,0.4047180657964919,0.3359038700537317,0.4455418869250971,0.4035505896826946,0.2983073458334938,0.25298102620657265,0.247095268555165,0.4027156583070895,0.33322859652347947
2020-05-07,0.3221749015159164,0.3016274679020457,0.9882217371527248,0.6900148188896728,0.38837146984307286,0.39996364109803684,0.5337212560735556,0.351352988129345,0.22477467196060305,0.13811803116370971,0.3817128406802274,0.34878330022475834
2020-05-08,0.3812937632008579,0.630273244397608,0.8971937697476792,0.762216014601914,0.3996818780315256,0.36950337312468085,0.6638919224644165,0.3603607296121754,0.20490371491108172,0.21782178620013518,0.4590935133515792,0.35503197428812394
2020-05-11,0.5176761431565093,0.3464416472914434,0.8061658023426337,0.8344172103141554,0.36461657152218513,0.41164508923852705,0.7940625888552775,0.3693684710950058,0.25289691022637206,0.22994572954021056,0.3771684591145524,0.3757480902777197
2020-05-12,0.3015616478759418,0.38828443691566883,0.7151378349375881,0.9066184060263967,0.41680548175613263,0.5775528550646265,0.6938158766028326,0.3783762125778362,0.21484647743226598,0.2711865667266449,0.43041997769086227,0.32643102714876726
2020-05-13,0.36392032345513325,0.35494911334917545,0.5673153784924682,0.9788196017386379,0.43052581198568957,0.5002569416124685,0.33160693823383836,0.3902561491347928,0.30231951939554225,0.39449221808067114,0.4393483649666332,0.5571608172224949
2020-05-14,0.3421591068498409,0.3417513998413371,0.4194929220473482,0.40221298261393823,0.4442461422152465,0.42296102816031045,0.42565473007756127,0.7638015526867905,0.2708328794696356,0.371231420500244,0.4482767522424041,0.8469361343258432
2020-05-15,4.279998779296875,0.0,5.470001220703125,0.0,0.0,0.9500007629394531,4.480003356933594,0.0,0.4199981689453125,0.0,0.0,1.5400009155273438
